Ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA_5,EMA_10,SMA_20,SMA_200,RSI,MACD,Box,Trend,Break_20,Stage
DIS,2021-01-08,178.81,180.01,176.6,178.33,2079875.0,0.0,0.0,178.51,177.35,174.61,127.16,67.36,-0.89,IN,➚,,3
NIO,2021-01-08,57.76,58.45,55.88,58.05,85804890.0,0.0,0.0,53.91,51.58,47.76,20.09,67.82,0.87,OUT,➚,,2
TWOU,2021-01-08,41.8,45.0,41.74,44.95,658167.0,0.0,0.0,41.97,40.96,39.34,34.96,68.13,0.24,OUT,➚,,2
NKE,2021-01-08,145.55,146.82,145.19,146.05,968659.0,0.0,0.0,143.8,142.65,140.92,110.73,68.52,0.05,IN,➚,,3
XOM,2021-01-08,45.2,45.5,44.95,45.49,7315292.0,0.0,0.0,44.26,43.4,42.77,39.77,68.62,0.16,IN,➚,,3
RL,2021-01-08,112.3,112.75,110.75,111.25,145533.0,0.0,0.0,108.71,106.17,103.01,76.9,69.47,0.29,IN,➚,,3
SNE,2021-01-08,103.29,103.71,103.03,103.7,788456.0,0.0,0.0,102.13,100.91,98.43,76.92,69.62,0.14,IN,➚,,3
GILD,2021-01-08,62.61,63.41,62.51,63.08,2209708.0,0.0,0.0,61.55,60.36,59.12,67.33,71.12,0.65,IN,➚,,3
WFC,2021-01-08,33.61,33.65,32.97,33.17,9381669.0,0.0,0.0,32.24,31.34,30.15,25.96,72.51,0.23,IN,➚,,3
GES,2021-01-08,23.2,23.7,22.73,23.66,187631.0,0.0,0.0,22.83,22.07,20.56,12.09,72.6,0.16,IN,➚,,3
CAT,2021-01-08,193.85,195.26,192.61,193.72,646616.0,0.0,0.0,190.27,186.58,181.85,142.51,72.6,1.28,IN,➚,,3
WBA,2021-01-08,45.05,46.09,44.62,45.85,3364296.0,0.0,0.0,43.73,42.42,41.12,39.56,73.53,0.53,OUT,➚,,2
FANG,2021-01-08,57.21,57.93,56.31,57.52,726556.0,0.0,0.0,54.98,52.51,49.33,38.2,73.97,0.68,OUT,➚,,2
JPM,2021-01-08,135.97,136.2,134.12,134.78,3343587.0,0.0,0.0,131.65,128.62,123.76,100.58,74.01,0.95,IN,➚,,3
AAP,2021-01-08,168.31,170.7,168.48,170.28,188762.0,0.0,0.0,165.34,162.62,160.15,143.14,74.32,0.91,IN,➚,,3
X,2021-01-08,21.34,23.19,20.95,23.09,11547191.0,0.0,0.0,20.53,19.23,18.03,9.47,75.51,0.34,OUT,➚,,2
ROKU,2021-01-08,391.35,402.81,387.17,399.42,3940564.0,0.0,0.0,366.96,354.17,342.25,181.21,75.54,1.36,OUT,➚,,2
DFS,2021-01-08,97.81,97.86,96.3,96.88,368791.0,0.0,0.0,94.7,92.31,88.62,57.08,77.16,0.52,IN,➚,,3
TSLA,2021-01-08,856.0,880.0,838.39,874.68,31801969.0,0.0,0.0,795.46,749.74,686.17,349.92,83.59,13.71,OUT,➚,,2
T,2021-01-08,29.14,29.21,28.76,28.81,23098712.0,0.0,0.0,28.91,28.81,,,,0.01,IN,➙,,???
